subject,session,correct_recs
LTP229,5,35
LTP229,6,167
LTP229,7,185
LTP229,8,248
LTP229,9,259
LTP246,5,15
LTP246,6,25
LTP246,7,47
LTP246,8,119
LTP246,9,158
LTP260,5,30
LTP260,6,49
LTP260,8,92
LTP260,9,113
LTP312,5,39
LTP312,7,116
LTP312,8,123
LTP327,5,3
LTP327,6,5
LTP327,7,18
LTP327,8,56
LTP327,9,105
LTP329,6,34
LTP329,7,37
LTP329,8,40
LTP329,9,46
LTP339,5,45
LTP339,6,78
LTP339,7,115
LTP339,8,127
LTP339,9,120
LTP347,5,17
LTP347,6,21
LTP347,7,15
LTP347,8,10
LTP347,9,9
LTP355,5,14
LTP355,6,23
LTP355,7,45
LTP355,8,43
LTP355,9,62
LTP356,5,55
LTP356,6,44
LTP356,7,60
LTP356,8,55
LTP356,9,43
LTP365,5,50
LTP365,6,114
LTP365,7,126
LTP365,8,186
LTP365,9,199
LTP372,5,10
LTP372,6,21
LTP372,7,108
LTP372,8,66
LTP372,9,95
LTP400,5,26
LTP400,6,60
LTP400,7,106
LTP400,8,129
LTP400,9,162
LTP401,5,19
LTP401,6,40
LTP401,7,55
LTP401,8,109
LTP401,9,166
LTP402,5,14
LTP402,6,18
LTP402,7,23
LTP402,8,31
LTP402,9,31
LTP404,5,10
LTP404,6,10
LTP404,7,11
LTP404,8,10
LTP404,9,8
LTP405,5,10
LTP405,6,14
LTP405,7,9
LTP405,8,31
LTP405,9,26
LTP406,5,20
LTP406,6,25
LTP406,7,27
LTP406,8,39
LTP406,9,38
LTP407,5,36
LTP407,6,43
LTP407,7,47
LTP407,8,36
LTP407,9,40
LTP408,5,28
LTP408,6,36
LTP408,7,59
LTP408,8,86
LTP408,9,104
LTP412,5,2
LTP412,6,4
LTP412,7,8
LTP412,8,13
LTP412,9,8
LTP414,5,13
LTP414,6,29
LTP414,7,33
LTP414,8,41
LTP414,9,51
LTP415,5,34
LTP415,6,54
LTP415,7,78
LTP415,8,90
LTP415,9,107
LTP416,5,19
LTP416,6,53
LTP416,7,103
LTP416,8,172
LTP416,9,198
LTP417,5,28
LTP417,6,55
LTP417,7,74
LTP417,8,95
LTP417,9,111
LTP418,5,6
LTP418,6,17
LTP418,7,11
LTP418,8,22
LTP418,9,23
LTP419,5,9
LTP419,6,7
LTP419,7,7
LTP419,8,6
LTP419,9,7
LTP420,6,29
LTP420,7,31
LTP420,8,35
LTP420,9,31
LTP421,5,36
LTP421,6,39
LTP421,7,86
LTP421,8,98
LTP421,9,125
LTP422,5,85
LTP422,6,131
LTP422,7,256
LTP422,8,259
LTP423,5,15
LTP423,6,38
LTP423,7,50
LTP423,8,76
LTP423,9,82
LTP424,5,38
LTP424,6,54
LTP424,7,61
LTP424,8,83
LTP424,9,105
LTP425,5,25
LTP425,6,67
LTP425,7,114
LTP425,8,119
LTP425,9,214
LTP427,5,18
LTP427,6,31
LTP427,7,37
LTP427,8,50
LTP427,9,68
LTP429,5,20
LTP429,6,36
LTP429,7,39
LTP429,8,38
LTP429,9,62
LTP430,5,27
LTP430,6,78
LTP430,7,128
LTP430,8,175
LTP430,9,185
LTP431,5,15
LTP431,6,51
LTP431,7,93
LTP431,8,139
LTP431,9,174
LTP433,5,35
LTP433,6,43
LTP433,7,44
LTP435,5,17
LTP435,6,29
LTP435,7,29
LTP436,5,26
LTP436,6,75
LTP436,7,138
LTP436,8,118
