subject,session,correct_recs,recs,intr,sem,lag,subj,subj_PF
LTP229,5,35,52,17,0.8399539200918628,0.530116507116021,,
LTP229,6,167,180,13,0.8674537956906857,0.5435533269099362,0.8619811807700356,8.801282051282051
LTP229,7,185,224,39,0.8452044732507266,0.4910393402293357,0.893893565440545,36.4374007936508
LTP229,8,248,293,45,0.8774910475865331,0.4800456195479777,0.917202679577128,47.34598976109215
LTP229,9,259,330,71,0.8674403741560301,0.5390702218872092,0.9327492264510702,64.20132381838866
LTP246,5,15,20,5,0.576994233023109,0.5669582132494678,,
LTP246,6,25,32,7,0.648079517065189,0.4281439887969083,0.6759478733218229,1.5875
LTP246,7,47,56,9,0.847280537876338,0.5790388506484632,0.5338756048522875,4.53125
LTP246,8,119,126,7,0.8063147615310196,0.4841644243453714,0.8892220910249917,10.642857142857142
LTP246,9,158,161,3,0.8099817402987264,0.5228358699345873,0.9217122176382464,39.100857734398105
LTP260,5,30,44,14,0.6320616208176836,0.5459438657114194,,
LTP260,6,49,87,38,0.8561746739557654,0.471905540773828,0.6854622412192561,5.660397074190177
LTP260,8,92,142,50,0.8622568903146349,,,14.693702444552372
LTP260,9,113,168,55,0.8576750711598413,0.5348798755980906,0.8047028836039626,28.282696177062373
LTP312,5,39,49,10,0.6260100359873582,0.5890123183625062,,
LTP312,7,116,123,7,0.7341790493544753,,,6.711299153807865
LTP312,8,123,140,17,0.7375850001940394,0.4717050322532939,0.8699636742756557,26.150987224157955
LTP327,5,3,6,3,0.9947643979057592,0.3449477351916376,,
LTP327,6,5,5,0,0.6668994783872431,0.6102097605637189,,0.0
LTP327,7,18,21,3,0.6963810739697655,0.5465574757719488,,0.0
LTP327,8,56,63,7,0.770900245789514,0.4976965381110276,0.8519469246031746,4.63718820861678
LTP327,9,105,119,14,0.7700771039335773,0.4781238399877104,0.733801531898835,8.319727891156463
LTP329,6,34,40,6,0.8059223655732083,,,
LTP329,7,37,45,8,0.8780837664997365,0.3855063981211694,0.9743129756605986,5.62
LTP329,8,40,51,11,0.7626523525986214,0.5159315659527769,0.9662374914153712,7.43355119825708
LTP329,9,46,56,10,0.8165339823511286,0.4184516703646885,0.8204502162042002,15.067226890756302
LTP339,5,45,45,0,0.6776644814489657,0.4678386195935897,,
LTP339,6,78,78,0,0.719082093262173,0.4990786511531604,0.6427603756132212,6.198860398860399
LTP339,7,115,119,4,0.8012528950165377,0.4728219967164153,0.7397115560160316,24.98901098901099
LTP339,8,127,133,6,0.8144220484634886,0.4816127123132984,0.807913904473001,35.942061034940295
LTP339,9,120,124,4,0.7748447722483244,0.5055000296955371,0.8541572514522648,38.98471986417657
LTP347,5,17,46,29,0.3988451746098571,0.4743610822167891,,
LTP347,6,21,59,38,0.6862618107345453,0.5983892185326067,0.106060606060606,-0.0147383935151068
LTP347,7,15,26,11,0.5061295904046496,0.4857003335495155,0.9913793103448276,0.9608865710560626
LTP347,8,10,15,5,0.5114481578394572,0.3720496687869818,0.7807971014492754,0.8461538461538461
LTP347,9,9,14,5,0.703370387294945,0.4292120740602936,0.4907407407407407,0.7142857142857143
LTP355,5,14,17,3,0.6687906518398002,0.5961877351938427,,
LTP355,6,23,24,1,0.4055348822909174,0.5697389640953306,,-0.1470588235294117
LTP355,7,45,63,18,0.8141059699110503,0.567284610606499,0.7606797138047138,1.7222222222222223
LTP355,8,43,72,29,0.8044392237395711,0.4052066273208889,0.8011606973940023,8.616402116402117
LTP355,9,62,100,38,0.836978255749665,0.4670388281753741,0.8226842551228026,9.521666666666668
LTP356,5,55,82,27,0.7735804986838205,0.6168175145848751,,
LTP356,6,44,82,38,0.5738230183638376,0.5160405390436332,0.8422964253112694,5.849494348602023
LTP356,7,60,91,31,0.7977975464780306,0.4821245412736932,0.7826952756710094,5.782363977485929
LTP356,8,55,70,15,0.7205612926022378,0.4583840936907877,0.8264149314273678,12.647723704866562
LTP356,9,43,75,32,0.7181992119114624,0.4883070434159768,0.8606453520953452,4.855238095238096
LTP365,5,50,73,23,0.709039682783245,0.4549271327222454,,
LTP365,6,114,134,20,0.7892076651753231,0.4673798911422879,0.690190577412384,5.696994479656512
LTP365,7,126,167,41,0.8566918462067246,0.505284230031242,0.9035559223406152,30.3618732683886
LTP365,8,186,229,43,0.8564185946347368,0.4838709105967024,0.9280775873029422,31.41793269356484
LTP365,9,199,296,97,0.8714611762356451,0.4975918970133244,0.8955575142271841,34.40924111884811
LTP372,5,10,10,0,0.5833279530877689,0.5464847148119394,,
LTP372,6,21,21,0,0.6301447754830026,0.5085492192507383,0.125,-0.1142857142857142
LTP372,7,108,109,1,0.7299315011117719,0.5679457485498391,0.43125,-0.2673656618610747
LTP372,8,66,68,2,0.8083051134566466,0.4339518656893477,0.8398560523237765,16.31192660550459
LTP372,9,95,97,2,0.7595058929558586,0.4457353684269294,0.8494874968557958,15.16434202546998
LTP400,5,26,76,50,0.7505790858689501,0.3871109405703545,,
LTP400,6,60,170,110,0.8997558132455153,0.5210318608413043,0.8850923332522628,2.8993808049535605
LTP400,7,106,224,118,0.9129742055728016,0.4961604506444935,0.8255269574326471,17.738970588235293
LTP400,8,129,247,118,0.9161385170948416,0.5661243103611747,0.931081499129337,54.40312319259688
LTP400,9,162,268,106,0.8871090730605339,0.4854511069299422,0.8843732426861434,46.49332285938728
